iter	Logloss
0	0.6612994318
1	0.6326170547
2	0.6080370464
3	0.5861488034
4	0.5677875067
5	0.5510348675
6	0.5347342434
7	0.5213796736
8	0.5099722535
9	0.5018620489
10	0.4932550425
11	0.4873516585
12	0.4803379576
13	0.4751615917
14	0.4692672253
15	0.4645362866
16	0.4595451653
17	0.4557985185
18	0.451961068
19	0.4487240684
20	0.4456557375
21	0.442714016
22	0.4404931245
23	0.4384035853
24	0.4364275633
25	0.4346970582
26	0.4329866509
27	0.4313698492
28	0.429985324
29	0.428409199
30	0.4264951025
31	0.4251512814
32	0.4238770353
33	0.4222556038
34	0.421374695
35	0.4202658533
36	0.4189751424
37	0.4181595178
38	0.4173999345
39	0.4165497437
40	0.415651624
41	0.4147939806
42	0.4140474947
43	0.4132797082
44	0.4125775256
45	0.4120170782
46	0.4114083744
47	0.4109431914
48	0.4103077283
49	0.4098550978
50	0.4092713202
51	0.4089064246
52	0.4084014847
53	0.4079950696
54	0.4073042836
55	0.4067950659
56	0.4063223694
57	0.4061075178
58	0.4056340136
59	0.405280066
60	0.4049896505
61	0.4046397093
62	0.4042213546
63	0.4039343719
64	0.4036432083
65	0.4034507465
66	0.4032172251
67	0.4028880271
68	0.4025376652
69	0.4022964122
70	0.4021025344
71	0.4018868998
72	0.4016442148
73	0.4012902516
74	0.4010126887
75	0.40060502
76	0.400374133
77	0.4001181533
78	0.3999536245
79	0.3997652122
80	0.3995763232
81	0.3993873535
82	0.3991999662
83	0.3990169257
84	0.3988635305
85	0.3987120828
86	0.3985031683
87	0.3983512841
88	0.3982006937
89	0.3979742174
90	0.3977811147
91	0.3975739333
92	0.3973979949
93	0.3970884227
94	0.3969461833
95	0.3966967678
96	0.3965056221
97	0.3962358306
98	0.3960108162
99	0.3958206697
100	0.3956546486
101	0.3954651939
102	0.395404139
103	0.3952541546
104	0.3951328964
105	0.3949569899
106	0.3948146465
107	0.3946525674
108	0.3944747552
109	0.3943656556
110	0.3942632457
111	0.394070521
112	0.3938614964
113	0.3937089368
114	0.393542036
115	0.3933460615
116	0.3932528407
117	0.3931554884
118	0.3931036054
119	0.392944953
120	0.3928178729
121	0.3926637931
122	0.3925409513
123	0.3923818564
124	0.3922681055
125	0.3921658765
126	0.3920190874
127	0.3919099871
128	0.3917762392
129	0.3916629831
130	0.3915806563
131	0.391498192
132	0.3913486126
133	0.3912392004
134	0.3911921506
135	0.3910233985
136	0.3908946394
137	0.3907790764
138	0.3906480707
139	0.3904400569
140	0.3903204672
141	0.390235483
142	0.3901292675
143	0.3899728895
144	0.3898564568
145	0.3897707431
146	0.3895689479
147	0.3894788358
148	0.3894278692
149	0.3892651782
150	0.3890670625
151	0.3889738387
152	0.3888148568
153	0.3886348736
154	0.388405414
155	0.3882563016
156	0.3881004491
157	0.3879058209
158	0.3877463763
159	0.3875615146
160	0.3874741622
161	0.3873580396
162	0.3872408497
163	0.3871380431
164	0.3870116899
165	0.386896823
166	0.3867125968
167	0.3866200658
168	0.3863727655
169	0.3862425679
170	0.3861019566
171	0.3860063748
172	0.3857834951
173	0.3856636432
174	0.3854231933
175	0.3852615058
176	0.3850994643
177	0.3849742601
178	0.3848761206
179	0.384731524
180	0.3845855032
181	0.3844896681
182	0.3843654362
183	0.3842557661
184	0.3841750549
185	0.3840188602
186	0.383843272
187	0.3837012735
188	0.3835961922
189	0.3834734261
190	0.3833761113
191	0.3831960674
192	0.382960444
193	0.3828525584
194	0.3826604854
195	0.3824663577
196	0.3823616917
197	0.3822254592
198	0.3820705237
199	0.3818143675
200	0.3816764623
201	0.381551839
202	0.3813590257
203	0.3811246115
204	0.3809839366
205	0.3808796735
206	0.3807229768
207	0.3806124364
208	0.3803585342
209	0.3801707822
210	0.3800235079
211	0.3798289394
212	0.3796887939
213	0.3794200683
214	0.3793527974
215	0.3792259293
216	0.3790475373
217	0.3788245664
218	0.3787516582
219	0.3785576046
220	0.3783959206
221	0.3782311096
222	0.3780342473
223	0.3779480513
224	0.3778084758
225	0.3776579555
226	0.3775129165
227	0.3773514087
228	0.377229962
229	0.3771494769
230	0.3769492804
231	0.376863117
232	0.3766921977
233	0.3765336152
234	0.3764108564
235	0.3762807219
236	0.3761474724
237	0.3760014788
238	0.3758364865
239	0.3757019034
240	0.3755824448
241	0.3754029197
242	0.3751857311
243	0.3750393815
244	0.3749103691
245	0.3748536715
246	0.3747537715
247	0.3745990427
248	0.3744595549
249	0.3743267816
250	0.3741915833
251	0.3738615678
252	0.373784347
253	0.3736143502
254	0.3734207116
255	0.3733141866
256	0.3732124859
257	0.3731268068
258	0.373005171
259	0.3728286827
260	0.3726928841
261	0.3725693233
262	0.3723704869
263	0.3721924223
264	0.37207271
265	0.3717823158
266	0.3717126414
267	0.3716117535
268	0.3715254692
269	0.3714468258
270	0.371310765
271	0.3712011883
272	0.3710468359
273	0.3709306544
274	0.3708423738
275	0.3707677228
276	0.3706993218
277	0.3706028844
278	0.3703949514
279	0.370291886
280	0.3701354559
281	0.369981441
282	0.3698942962
283	0.3696917785
284	0.3695430097
285	0.3694818579
286	0.3693931139
287	0.3691747411
288	0.3690038973
289	0.3688296878
290	0.368741429
291	0.3685709892
292	0.3684614303
293	0.3683125245
294	0.3681349733
295	0.3680035622
296	0.3679180569
297	0.3678411532
298	0.3677182835
299	0.3676448441
